src_bytes,dst_bytes,count,srv_count,serror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,feat_byte_ratio,feat_total_bytes,feat_src_byte_rate,feat_packet_ratio,protocol_type_icmp,protocol_type_tcp,service_eco_i,service_ftp,service_ftp_data,service_http,service_private,service_smtp,service_ssl_tls,service_telnet,flag_REJ,flag_S0,flag_SF
-0.7836484,-0.6486338,-0.33492061,-0.3658265,-0.3333333,0.33333343,-0.33333334,-0.5398003,-0.80100185,1.989834,-0.68065256,-0.7836484,-0.33333334,2.0,-2.0,2.0,-0.3333333,-0.3333333,-0.3333333,-0.5,-0.3333333,-0.3333333,-0.3333333,-0.3333333,-0.3333333,0.49999997
0.58969384,-0.17170289,-0.33492061,-0.3658265,-0.3333333,0.33333343,-0.33333334,-0.529804,-0.55068874,-0.5488477,-0.13014142,0.5896939,-0.33333334,-0.5,0.49999997,-0.5,2.9999998,-0.3333333,-0.3333333,-0.5,-0.3333333,-0.3333333,-0.3333333,-0.3333333,-0.3333333,0.49999997
-0.83183587,0.4605801,-0.33492061,-0.3658265,-0.3333333,0.33333343,-0.33333334,-0.48981878,-0.80100185,-0.6043332,0.39617145,-0.8318358,-0.33333334,-0.5,0.49999997,-0.5,-0.3333333,2.9999998,-0.3333333,-0.5,-0.3333333,-0.3333333,-0.3333333,-0.3333333,-0.3333333,0.49999997
1.0474746,2.8234854,-0.33492061,-0.3658265,-0.3333333,0.33333343,-0.33333334,-0.4698262,0.9511898,-0.59434325,2.8144882,1.0474746,-0.33333334,-0.5,0.49999997,-0.5,-0.3333333,-0.3333333,2.9999998,-0.5,-0.3333333,-0.3333333,-0.3333333,-0.3333333,-0.3333333,0.49999997
-0.83183587,-0.6486338,2.9999728,2.987583,2.9999998,-3.0,3.0,1.9992604,1.9524422,-0.3161821,-0.6836774,-0.8318358,3.0,-0.5,0.49999997,-0.5,-0.3333333,-0.3333333,-0.3333333,2.0,-0.3333333,-0.3333333,-0.3333333,-0.3333333,2.9999998,-2.0
-0.83183587,-0.6486338,-0.33492061,-0.3658265,-0.3333333,0.33333343,-0.33333334,1.9992604,-0.80100185,-0.3161821,-0.6836774,-0.8318358,-0.33333334,-0.5,0.49999997,-0.5,-0.3333333,-0.3333333,-0.3333333,2.0,-0.3333333,-0.3333333,-0.3333333,2.9999998,-0.3333333,-2.0
-0.1993756,-0.084317334,-0.33492061,-0.3658265,-0.3333333,0.33333343,-0.33333334,-0.5098114,-0.05006257,-0.58341986,-0.09460018,-0.19937557,-0.33333334,-0.5,0.49999997,-0.5,-0.3333333,-0.3333333,-0.3333333,-0.5,2.9999998,-0.3333333,-0.3333333,-0.3333333,-0.3333333,0.49999997
0.37285033,-0.18257754,-0.33492061,-0.3658265,-0.3333333,0.33333343,-0.33333334,-0.4798225,-0.80100185,-0.5561921,-0.15433972,0.3728504,-0.33333334,-0.5,0.49999997,-0.5,-0.3333333,-0.3333333,-0.3333333,-0.5,-0.3333333,-0.3333333,2.9999998,-0.3333333,-0.3333333,0.49999997
-0.7836484,-0.6486338,-0.32060775,-0.060971092,-0.3333333,0.33333343,-0.33333334,-0.529804,-0.55068874,1.989834,-0.68065256,-0.7836484,-0.33333334,2.0,-2.0,2.0,-0.3333333,-0.3333333,-0.3333333,-0.5,-0.3333333,-0.3333333,-0.3333333,-0.3333333,-0.3333333,0.49999997
2.2521608,-0.25093246,-0.33492061,-0.3658265,-0.3333333,0.33333343,-0.33333334,-0.44983357,1.451816,-0.4601675,-0.10291834,2.2521608,-0.33333334,-0.5,0.49999997,-0.5,-0.3333333,-0.3333333,-0.3333333,-0.5,-0.3333333,2.9999998,-0.3333333,-0.3333333,-0.3333333,0.49999997
