dataset,model,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,tpr,tn,fp,fn,tp,test_samples
nsl_kdd,Isolation Forest,40.0,0.9285033869602032,0.9295108444854637,0.9158804137774241,0.9226452905811623,0.9820500698872905,0.9813691591983233,0.060501039706901676,0.9158804137774241,9488,611,740,8057,18896
nsl_kdd,Random Forest,0.45999999999999996,0.9991003386960203,0.9993175614194723,0.9987495737183131,0.9990334868383649,0.9999896725498164,0.9999867730054879,0.000594118229527676,0.9987495737183131,10093,6,11,8786,18896
nsl_kdd,Dense Autoencoder,0.20947018265724182,0.9427921253175275,0.9422283356258597,0.9344094577696942,0.9383026082986131,0.9823121901406157,0.9672048495732563,0.049905931280324785,0.9344094577696942,9595,504,577,8220,18896
nsl_kdd,LSTM Autoencoder,0.2928571105003357,0.4902095681625741,0.476967158915583,0.9839718085711038,0.6424939691965114,0.6456016774165386,0.5746072616022573,0.9398950391127835,0.9839718085711038,607,9492,141,8656,18896
nsl_kdd,Ensemble,50.0,0.9834356477561389,0.9688328912466844,0.9964760713879732,0.9824600728495377,0.9992838715293112,0.999126164018255,0.02792355678780077,0.9964760713879732,9817,282,31,8766,18896
cicids2017,Isolation Forest,22.5,0.6854983220929853,0.6635815755488592,0.48577956353895846,0.5609279053900387,0.7541725863774434,0.6500542291837335,0.17366666666666666,0.48577956353895846,14874,3126,6527,6166,30693
cicids2017,Random Forest,0.45999999999999996,0.9981754797510833,0.9974805133454059,0.9981091940439613,0.9977947546664566,0.9998187977625462,0.999612466966233,0.0017777777777777779,0.9981091940439613,17968,32,24,12669,30693
cicids2017,Dense Autoencoder,0.2132798135280609,0.7219561463525885,0.8500252482747013,0.39785708658315605,0.5420199635075668,0.8259802450169385,0.7638968080843429,0.0495,0.39785708658315605,17109,891,7643,5050,30693
cicids2017,LSTM Autoencoder,0.7687982320785522,0.5723129052226892,0.47403063666826234,0.3120617663278973,0.37635992208655994,0.5598359266262245,0.45600428301224794,0.24416666666666667,0.3120617663278973,13605,4395,8732,3961,30693
cicids2017,Ensemble,50.0,0.77822304760043,0.9537465309898242,0.48735523516899076,0.6450805568590646,0.9740505155947722,0.9558920118267668,0.016666666666666666,0.48735523516899076,17700,300,6507,6186,30693
